iter	Passed	Remaining
0	75	90360
1	88	53281
2	99	39633
3	111	33271
4	122	29194
5	130	25932
6	138	23652
7	144	21544
8	152	20182
9	159	18980
10	165	17883
11	174	17233
12	180	16508
13	191	16220
14	201	15955
15	212	15720
16	222	15477
17	230	15111
18	241	15010
19	250	14757
20	263	14812
21	275	14745
22	283	14488
23	294	14425
24	302	14219
25	312	14129
26	320	13923
27	331	13861
28	341	13794
29	349	13614
30	359	13561
31	367	13410
32	376	13316
33	384	13196
34	392	13063
35	400	12945
36	409	12887
37	419	12829
38	427	12718
39	436	12651
40	443	12537
41	454	12534
42	462	12443
43	471	12386
44	479	12296
45	489	12286
46	499	12249
47	506	12165
48	516	12127
49	524	12053
50	535	12059
51	543	11991
52	553	11979
53	564	11986
54	574	11954
55	586	11974
56	596	11958
57	606	11941
58	617	11941
59	629	11959
60	632	11809
61	643	11813
62	651	11755
63	664	11795
64	672	11741
65	685	11774
66	698	11814
67	706	11757
68	715	11735
69	723	11677
70	733	11665
71	744	11656
72	754	11652
73	765	11648
74	775	11636
75	787	11648
76	797	11626
77	810	11662
78	820	11640
79	829	11619
80	837	11565
81	846	11543
82	855	11516
83	864	11490
84	872	11450
85	882	11428
86	890	11387
87	899	11368
88	907	11331
89	917	11316
90	925	11281
91	935	11267
92	943	11227
93	952	11201
94	960	11166
95	971	11171
96	978	11131
97	989	11128
98	997	11091
99	1007	11087
100	1015	11053
101	1026	11054
102	1034	11014
103	1045	11014
104	1055	11010
105	1063	10973
106	1070	10939
107	1078	10902
108	1087	10889
109	1096	10865
110	1104	10832
111	1113	10816
112	1121	10787
113	1132	10787
114	1141	10765
115	1148	10736
116	1159	10730
117	1170	10735
118	1180	10720
119	1190	10712
120	1197	10676
121	1210	10699
122	1218	10667
123	1228	10662
124	1239	10659
125	1251	10666
126	1259	10640
127	1273	10663
128	1286	10681
129	1297	10682
130	1307	10672
131	1319	10677
132	1333	10696
133	1345	10705
134	1355	10697
135	1369	10714
136	1381	10716
137	1394	10731
138	1403	10716
139	1414	10707
140	1422	10685
141	1433	10681
142	1442	10660
143	1452	10649
144	1460	10622
145	1470	10614
146	1479	10600
147	1489	10585
148	1497	10561
149	1506	10544
150	1514	10519
151	1527	10530
152	1535	10504
153	1544	10491
154	1552	10465
155	1563	10463
156	1572	10448
157	1586	10462
158	1596	10450
159	1609	10462
160	1620	10460
161	1634	10474
162	1644	10463
163	1655	10458
164	1665	10446
165	1678	10457
166	1686	10430
167	1695	10414
168	1707	10413
169	1714	10386
170	1726	10386
171	1733	10360
172	1742	10345
173	1751	10326
174	1761	10316
175	1769	10295
176	1779	10284
177	1787	10262
178	1798	10258
179	1808	10248
180	1816	10224
181	1827	10222
182	1836	10206
183	1844	10182
184	1851	10158
185	1864	10165
186	1873	10148
187	1880	10124
188	1890	10113
189	1898	10089
190	1907	10078
191	1915	10056
192	1925	10048
193	1933	10028
194	1944	10019
195	1951	9998
196	1963	9996
197	1971	9979
198	1983	9977
199	1990	9953
200	2002	9950
201	2010	9931
202	2021	9928
203	2029	9906
204	2040	9903
205	2052	9902
206	2060	9882
207	2070	9874
208	2078	9853
209	2086	9834
210	2097	9833
211	2105	9813
212	2115	9802
213	2123	9783
214	2135	9784
215	2143	9763
216	2155	9763
217	2162	9742
218	2172	9733
219	2181	9715
220	2190	9704
221	2198	9686
222	2208	9676
223	2220	9672
224	2234	9684
225	2242	9662
226	2250	9646
227	2258	9627
228	2268	9618
229	2276	9600
230	2286	9591
231	2294	9574
232	2306	9570
233	2314	9553
234	2326	9551
235	2335	9541
236	2343	9523
237	2355	9519
238	2366	9513
239	2373	9492
240	2384	9488
241	2392	9470
242	2402	9460
243	2410	9445
244	2422	9444
245	2434	9439
246	2442	9422
247	2452	9413
248	2460	9395
249	2472	9393
250	2479	9375
251	2490	9367
252	2497	9349
253	2507	9340
254	2515	9322
255	2527	9318
256	2534	9300
257	2544	9291
258	2552	9273
259	2560	9258
260	2569	9243
261	2580	9238
262	2587	9220
263	2599	9214
264	2606	9198
265	2617	9190
266	2625	9174
267	2636	9169
268	2644	9152
269	2654	9142
270	2662	9126
271	2673	9122
272	2684	9114
273	2690	9094
274	2702	9088
275	2712	9081
276	2721	9069
277	2732	9063
278	2739	9044
279	2746	9025
280	2754	9007
281	2765	9002
282	2776	8996
283	2787	8990
284	2794	8973
285	2805	8965
286	2814	8953
287	2824	8943
288	2834	8935
289	2842	8918
290	2853	8914
291	2865	8909
292	2872	8891
293	2883	8884
294	2890	8868
295	2901	8861
296	2909	8847
297	2921	8843
298	2929	8827
299	2940	8822
300	2948	8805
301	2959	8799
302	2967	8785
303	2978	8779
304	2985	8761
305	2996	8754
306	3003	8736
307	3012	8725
308	3020	8709
309	3029	8698
310	3037	8683
311	3047	8674
312	3055	8658
313	3066	8653
